"Year","Area","Street","Street.2"
2011,"Birmingham","Alvechurch Rd",""
2011,"Birmingham","Arden Road",""
2011,"Birmingham","Ardencote Froad",""
2011,"Birmingham","Ashley Close",""
2011,"Birmingham","Balti Spice Bristol Rd South",""
2011,"Birmingham","Barnes Hill",""
2011,"Birmingham","Barrow House",""
2011,"Birmingham","Bell Street",""
2011,"Birmingham","Birmingham New Street",""
2011,"Birmingham","Birmingham New Street",""
2011,"Birmingham","Birmingham New Street",""
2011,"Birmingham","Birmingham Street Oldbury",""
2011,"Birmingham","Blandford Road",""
2011,"Birmingham","Bournbrook Road",""
2011,"Birmingham","Bournville Front Office",""
2011,"Birmingham","Bournville Front Office",""
2011,"Birmingham","Bournville Lane",""
2011,"Birmingham","Bournville Lane",""
2011,"Birmingham","Bournville Lane Front Office",""
2011,"Birmingham","Bowling Green Road",""
2011,"Birmingham","Bristol Rd",""
2011,"Birmingham","Bristol Rd",""
2011,"Birmingham","Bristol Rd",""
2011,"Birmingham","Bristol Rd",""
2011,"Birmingham","Bristol Rd Selly Oak",""
2011,"Birmingham","Bristol Rd South",""
2011,"Birmingham","Bristol Rd South",""
2011,"Birmingham","Bristol Rd Sth",""
2011,"Birmingham","Bristol Rd Northfield",""
2011,"Birmingham","Bristol Rd Selly Oak",""
2011,"Birmingham","Bristol Road",""
2011,"Birmingham","Bristol Road",""
2011,"Birmingham","Bristol Road",""
2011,"Birmingham","Bristol Road",""
2011,"Birmingham","Bristol Road",""
2011,"Birmingham","Bristol Road",""
2011,"Birmingham","Bristol Road",""
2011,"Birmingham","Bristol Road",""
2011,"Birmingham","Bristol Road",""
2011,"Birmingham","Bristol Road",""
2011,"Birmingham","Bristol Road",""
2011,"Birmingham","Bristol Road",""
2011,"Birmingham","Bristol Road",""
2011,"Birmingham","Bristol Road",""
2011,"Birmingham","Bristol Road Northfield",""
2011,"Birmingham","Bristol Road Selly Oak",""
2011,"Birmingham","Bristol Road Selly Oak",""
2011,"Birmingham","Bristol Road Selly Oak",""
2011,"Birmingham","Bristol Road South Northfield",""
2011,"Birmingham","Bristol Road South Selly Oak",""
2011,"Birmingham","Bristol Road Selly Oak",""
2011,"Birmingham","Bristol Road Selly Oak",""
2011,"Birmingham","Bristol Road Selly Oak",""
2011,"Birmingham","Broad Street",""
2011,"Birmingham","Broad Street",""
2011,"Birmingham","Broad Street",""
2011,"Birmingham","Broad Street City Centre",""
2011,"Birmingham","Broad Street City Centre",""
2011,"Birmingham","Brook Lane",""
2011,"Birmingham","Bunburry Road",""
2011,"Birmingham","Bunburry Road",""
2011,"Birmingham","Burnhill Grove Weoley Castle Birmingham",""
2011,"Birmingham","Car Park Of Bournville Lane P Stn",""
2011,"Birmingham","Chinbrook Road Billsley",""
2011,"Birmingham","Church Hill Nortthfield",""
2011,"Birmingham","Church Road",""
2011,"Birmingham","Compton Road Cradley Heath",""
2011,"Birmingham","Costcutters Ardern Road",""
2011,"Birmingham","Dawberry Road",""
2011,"Birmingham","Dawlish Road",""
2011,"Birmingham","Dingle Club",""
